classe,codigo,descricao,qtd,status
Req p inventário,222185,PINO TRAVA C/ ARG. 3/8 X 2,"-700,00",OK
Req p inventário,649855,LIXA D'AGUA G,"-55,00",OK
Req p inventário,238260,MOLA TRAVA IÇAM. FA/FP/C (Un),"-12,00",OK
Req p inventário,702093,LENTE ESCURA N 12 (Un),"-34,00",OK
Req p inventário,258234,PARAF SEX 3/4 X 2 UNC ZB (Un),"-366,00",OK
Req p inventário,200460,CABO PP 2x1mm (M),"-28,50",OK
Req p inventário,260137,PARAF SEX 5/8 X 2.1/4 UNC (Un),"-110,00",OK
Req p inventário,258179,PARAF SEX 1/2 X 4.1/2 UNC (Un),"-254,00",OK
Req p inventário,212095,ARRUELA LISA 1 CH 3/16 (Un),"-436,00",OK
Req p inventário,258544,PARAF SEX 1/2 X 3 UNC ZB (Un),"-432,00",OK
Req p inventário,222356,"GRAMPO R 4,5 X 80 ZB (Un)","-100,00",OK
Req p inventário,258155,PARAF SEX 1/2 X 3.1/2 UNC ZB (Un),"-308,00",OK
Req p inventário,760006,DESINFETANTE PERFUMADO (L),"-55,00",OK
Req p inventário,266176,PLACA DE IDENT. CEMAG (Un),"-1,00",OK
Req p inventário,212103,ARRUELA LISA 30MM GALV. (Un),"-394,00",OK
Req p inventário,497875,FRASCO 500ML C/ TAMPA DE LACRE (Un),"-5,00",OK
Req p inventário,260484,PARAF SEX 1/2 X 1.1/4 UNC (Un),"-347,00",OK
Req p inventário,712322,CANETA ESCRITA GROSSA (Un),"-10,00",OK
Req p inventário,257086,"PARAF ALLEN C/ CAB 1/4 X 5/8 UNF (NÃO USAR, SUBSTITUÍDO.) (Un)","-287,00",OK
Req p inventário,200464,"CABO FLEXIVEL 750V SIL PT 1,5MM (M)","-41,00",OK
Req p inventário,200463,CABO FLEXIVEL 1MM AZUL (M),"-30,00",OK
Req p inventário,256161,PARAF FRANC 3/8 X 2 (Un),"-2,00",OK
Req p inventário,497822,"TUBO EPE DIAM. 30 X 3MM X 1,6M CÓD.T30.3.1,6D30 (Un)","-2180,00",OK
Req p inventário,701018,ESPONJA DUPLA FACE 60X1 (Un),"-1,00",OK
Req p inventário,232300,GRAMPO P/ CABO DE ACO,"-50,00",OK
